EmployeeID,NationalIDNumber,ContactID,LoginID,ManagerID,Title,BirthDate,MaritalStatus,Gender,HireDate,SalariedFlag,VacationHours,SickLeaveHours,CurrentFlag,rowguid,ModifiedDate,HumanResources_EmployeeAddress,HumanResources_EmployeeDepartmentHistory,HumanResources_EmployeePayHistory,HumanResources_JobCandidate,Sales_SalesPerson
18,494170342,1069,adventure-works\john0,21,Production Supervisor - WC60,08 09 46 00:00,M,M,18 04 98 00:00,0,81,60,-1,{D4ED1F78-7C28-479B-BFEF-A73228BA2AAA},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
19,9659517,1075,adventure-works\diane0,185,Production Technician - WC10,30 04 46 00:00,M,F,29 04 98 00:00,0,87,63,-1,{C334B2D2-0C56-4906-9095-F1D07A98CBEC},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
20,443968955,1129,adventure-works\steven0,173,Production Technician - WC30,15 06 67 00:00,M,M,02 01 99 00:00,0,41,40,-1,{0A8937C9-68AA-4D48-BA4E-B40493D764AA},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
21,277173473,1231,adventure-works\peter0,148,Production Control Manager,04 12 72 00:00,M,M,02 01 99 00:00,-1,43,41,-1,{69D5D162-E817-45E7-9DEC-5D9B8310E7B1},26 01 05 09:17,[Value],[Table],[Table],[Table],[Table]
22,835460180,1172,adventure-works\stuart0,197,Production Technician - WC45,14 10 52 00:00,S,M,03 01 99 00:00,0,84,62,-1,{4F361B4F-7920-4037-9A0A-46D616F9B9C7},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
23,687685941,1173,adventure-works\greg0,197,Production Technician - WC45,18 11 60 00:00,S,M,03 01 99 00:00,0,85,62,-1,{A36B5D6B-72A5-47F8-9F6B-5D922130E760},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
24,498138869,1113,adventure-works\david1,184,Production Technician - WC30,03 12 69 00:00,S,M,03 01 99 00:00,0,25,32,-1,{ED7EE92E-A9D0-4E3A-8DEE-4B143E459F7E},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
25,360868122,1054,adventure-works\zheng0,21,Production Supervisor - WC10,26 11 73 00:00,S,M,04 01 99 00:00,0,66,53,-1,{C75F2740-ACE3-4EBF-91C5-7AB352E1095F},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
26,964089218,1097,adventure-works\ivo0,108,Production Technician - WC20,04 02 72 00:00,M,M,05 01 99 00:00,0,9,24,-1,{D83A26F3-7EA7-477B-A5BB-7EAADFC13A09},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
27,384162788,1156,adventure-works\paul0,87,Production Technician - WC40,15 12 70 00:00,S,M,05 01 99 00:00,0,68,54,-1,{0217049E-1566-42B6-8027-41B751E2B00B},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
28,749389530,1258,adventure-works\ashvini0,150,Network Administrator,28 04 67 00:00,S,M,05 01 99 00:00,0,70,55,-1,{2E680C1C-7C02-4343-9626-6F97273414C0},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
29,571658797,1199,adventure-works\kendall0,14,Production Technician - WC50,30 06 76 00:00,M,M,06 01 99 00:00,0,11,25,-1,{65207627-5521-4A8E-AD3C-B2F1B5226B85},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
30,535145551,1242,adventure-works\paula0,140,Human Resources Manager,14 03 66 00:00,M,F,07 01 99 00:00,-1,54,47,-1,{65028F15-4149-4DE5-B203-9D7EC86BAF87},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
31,761597760,1140,adventure-works\alejandro0,210,Production Technician - WC40,06 01 79 00:00,S,M,07 01 99 00:00,0,52,46,-1,{8C7321D2-2C64-4902-9D64-8F5C1EB7F747},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
32,271438431,1122,adventure-works\garrett0,184,Production Technician - WC30,26 09 74 00:00,S,M,08 01 99 00:00,0,34,37,-1,{A6F5F72F-AA03-41B7-8B6E-B123BD360753},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
33,160739235,1124,adventure-works\jianshuo0,135,Production Technician - WC30,27 08 73 00:00,S,M,08 01 99 00:00,0,36,38,-1,{6FFF136A-9664-4EB9-9243-FAC76E21B9DD},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
34,586486572,1285,adventure-works\susan0,85,Stocker,20 03 68 00:00,S,F,08 01 99 00:00,0,97,68,-1,{923ECFD6-E202-429A-9141-6CB183531439},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
35,337752649,1283,adventure-works\vamsi0,85,Shipping and Receiving Clerk,19 04 67 00:00,M,M,08 01 99 00:00,0,95,67,-1,{A8838AB2-99DE-415C-8675-D82EBF1C4752},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
36,113695504,1183,adventure-works\alice0,38,Production Technician - WC50,27 02 68 00:00,M,F,08 01 99 00:00,0,95,67,-1,{7E632B21-0D11-4BBA-8A68-8CAE14C20AE6},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
37,276751903,1226,adventure-works\simon0,7,Production Technician - WC60,17 06 80 00:00,S,M,09 01 99 00:00,0,38,39,-1,{F734D38A-56B5-471E-8DED-A682E958A9B3},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
38,630184120,1065,adventure-works\jinghao0,21,Production Supervisor - WC50,09 03 79 00:00,S,M,09 01 99 00:00,0,77,58,-1,{2BCA07D3-F2AC-4406-904F-E09156F3EB3E},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
39,545337468,1108,adventure-works\michael0,182,Production Technician - WC20,19 12 74 00:00,S,M,10 01 99 00:00,0,20,30,-1,{4FD6FE82-535A-4DD1-BEB1-154A8B5E42F0},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
40,713403643,1167,adventure-works\yvonne0,159,Production Technician - WC45,17 05 79 00:00,M,F,10 01 99 00:00,0,79,59,-1,{83C6DABF-FD7D-4F5B-BB22-EB7EEBB9A772},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
41,885055826,1269,adventure-works\peng0,200,Quality Assurance Supervisor,19 04 66 00:00,M,M,10 01 99 00:00,-1,81,60,-1,{E249D613-36C9-4544-9B6F-6CE50E5E0DA5},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
42,441044382,1253,adventure-works\jean0,109,Information Services Manager,13 01 66 00:00,S,F,12 01 99 00:00,-1,65,52,-1,{794A0B1F-C46A-401C-984D-008996FC7092},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
43,718299860,1194,adventure-works\russell0,74,Production Technician - WC50,27 12 62 00:00,M,M,13 01 99 00:00,0,6,23,-1,{6B10192F-D570-47C4-82C9-3D979B1EFDC1},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
44,685233686,1232,adventure-works\ascott0,148,Master Scheduler,19 10 58 00:00,S,M,13 01 99 00:00,0,44,42,-1,{13909262-4136-492F-BCA3-0B0E3773B03E},26 01 05 09:17,[Value],[Table],[Table],[Table],[Table]
45,295971920,1135,adventure-works\fred0,210,Production Technician - WC40,27 07 79 00:00,S,M,13 01 99 00:00,0,47,43,-1,{45358AE8-0B0E-4C11-90BB-DAC3EC0D5C82},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
46,95958330,1033,adventure-works\sariya0,6,Marketing Specialist,21 06 77 00:00,S,M,13 01 99 00:00,0,45,42,-1,{AF21F1B7-0691-48AD-B325-B8F2D7B2268A},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
47,332040978,1237,adventure-works\willis0,30,Recruiter,18 08 68 00:00,S,M,14 01 99 00:00,0,49,44,-1,{A1D86ECC-EA17-4B1B-8369-F1D07AB0A469},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
48,857651804,1178,adventure-works\jun0,38,Production Technician - WC50,06 08 69 00:00,S,M,15 01 99 00:00,0,90,65,-1,{9C5F84D1-FB96-4D82-92A1-F932903DEAAD},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
49,553069203,1280,adventure-works\christian0,218,Maintenance Supervisor,18 02 66 00:00,M,M,15 01 99 00:00,-1,92,66,-1,{4611C7C5-90A0-407F-B054-93BD51533609},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
50,351069889,1119,adventure-works\susan1,184,Production Technician - WC30,03 05 73 00:00,S,F,15 01 99 00:00,0,31,35,-1,{F73D75D5-B47B-46EE-AD11-7BF13DD6C55D},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
51,370989364,1060,adventure-works\reuben0,21,Production Supervisor - WC40,27 09 77 00:00,M,M,16 01 99 00:00,0,72,56,-1,{71EEE2A6-B9B3-4BF4-8949-01239DF7C901},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
52,275962311,1162,adventure-works\kirk0,123,Production Technician - WC45,10 03 75 00:00,S,M,16 01 99 00:00,0,74,57,-1,{08D25BAA-167B-499C-8B51-31DCC856A8CF},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
53,36151748,1221,adventure-works\david2,18,Production Technician - WC60,30 01 75 00:00,M,M,16 01 99 00:00,0,33,36,-1,{FC617BB8-D2A3-4374-873C-8EF38D80127D},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
54,540688287,1264,adventure-works\tengiz0,90,Control Specialist,29 05 80 00:00,S,M,17 01 99 00:00,0,76,58,-1,{C609B3B2-7969-410C-934C-62C34B63C4EE},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
55,568596888,1103,adventure-works\hanying0,143,Production Technician - WC20,16 11 64 00:00,S,M,17 01 99 00:00,0,15,27,-1,{618B71BC-6E8C-492D-8862-B9EFB7A4E06A},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
56,918737118,1146,adventure-works\kevin1,210,Production Technician - WC40,26 01 76 00:00,S,M,18 01 99 00:00,0,58,49,-1,{DC7E95FF-275E-41C2-8ED3-686864F0540A},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
57,801758002,1205,adventure-works\annik0,16,Production Technician - WC60,27 01 67 00:00,M,M,18 01 99 00:00,0,17,28,-1,{51FDE6AC-BD50-467C-90E5-10CA7310455C},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
58,415823523,1181,adventure-works\suroor0,38,Production Technician - WC50,28 03 68 00:00,S,M,18 01 99 00:00,0,93,66,-1,{14010B0E-C101-4E41-B788-21923399E512},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
59,363923697,1248,adventure-works\deborah0,139,Accounts Receivable Specialist,07 04 66 00:00,M,F,19 01 99 00:00,0,60,50,-1,{09F75454-028C-46CA-BC08-0147BD0220D7},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
60,674171828,1189,adventure-works\jim0,74,Production Technician - WC50,09 10 76 00:00,M,M,20 01 99 00:00,0,1,20,-1,{6175876E-8FCC-4917-BE06-FC358515E6DF},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
61,138280935,1130,adventure-works\carole0,173,Production Technician - WC30,19 11 73 00:00,M,F,20 01 99 00:00,0,42,41,-1,{C76A41F1-A390-4AE4-A82A-2A87764C6391},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
62,476115505,1114,adventure-works\george0,184,Production Technician - WC30,18 05 67 00:00,M,M,22 01 99 00:00,0,26,33,-1,{01B119A2-2AF3-4775-818E-B421FECB07A7},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
63,502058701,1157,adventure-works\gary0,87,Production Technician - WC40,17 06 78 00:00,S,M,23 01 99 00:00,0,69,54,-1,{A03D6052-1F85-4EBE-AAC9-B67CFDCD91A6},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
64,7201901,1055,adventure-works\cristian0,21,Production Supervisor - WC10,13 05 74 00:00,M,M,23 01 99 00:00,0,67,53,-1,{5BE16416-8570-417D-9E54-047DB468B5E9},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
65,97728960,1098,adventure-works\raymond0,143,Production Technician - WC20,02 04 57 00:00,M,M,24 01 99 00:00,0,10,25,-1,{9F01E1FB-B893-40CC-9F5C-AAF89F9B7AF5},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
66,525932996,1259,adventure-works\janaina0,42,Application Specialist,03 03 75 00:00,M,F,24 01 99 00:00,-1,71,55,-1,{241535C7-7A31-4A6A-9E0D-A83C30C2EDDA},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
67,843479922,1200,adventure-works\bob0,14,Production Technician - WC50,16 09 69 00:00,S,M,25 01 99 00:00,0,12,26,-1,{68616AEA-81E5-4940-A7E4-6FBA882BCCF6},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
68,370487086,1141,adventure-works\shammi0,210,Production Technician - WC40,05 11 70 00:00,M,M,25 01 99 00:00,0,53,46,-1,{9BEF0C94-7969-4905-9A42-CE469C754800},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
69,54759846,1184,adventure-works\linda0,38,Production Technician - WC50,17 08 77 00:00,M,F,26 01 99 00:00,0,96,68,-1,{FB84759C-B687-43B2-8727-125EFE0F5E13},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
70,619308550,1239,adventure-works\mindy0,30,Benefits Specialist,22 12 74 00:00,M,F,26 01 99 00:00,0,51,45,-1,{834D7AB6-06E6-4944-B42F-028CD4BD388E},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
71,121491555,1243,adventure-works\wendy0,140,Finance Manager,12 11 74 00:00,S,F,26 01 99 00:00,-1,55,47,-1,{8F410408-4AA8-4D67-886D-530BFE4EBE3B},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
72,420776180,1286,adventure-works\kim0,85,Stocker,01 06 74 00:00,S,F,27 01 99 00:00,0,98,69,-1,{6150F197-7923-40D4-84F2-936207D468AB},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
73,604664374,1125,adventure-works\sandra0,135,Production Technician - WC30,06 12 65 00:00,M,F,27 01 99 00:00,0,37,38,-1,{F69F3FF9-E1E0-4419-A6BF-F705E1556160},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
74,778552911,1066,adventure-works\kok-ho0,21,Production Supervisor - WC50,30 05 70 00:00,S,M,28 01 99 00:00,0,78,59,-1,{57FB2C0F-B105-49F0-967A-88F3D743CB3F},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
75,435234965,1168,adventure-works\douglas0,159,Production Technician - WC45,26 12 75 00:00,M,M,28 01 99 00:00,0,80,60,-1,{1AB0EDEB-7558-4734-8423-5A11B44DCA35},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
76,339712426,1227,adventure-works\james0,7,Production Technician - WC60,26 08 74 00:00,M,M,28 01 99 00:00,0,39,39,-1,{82E52D5A-165B-4C6D-9773-C3A6B6332ECD},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
77,403414852,1270,adventure-works\sean0,41,Quality Assurance Technician,07 04 66 00:00,S,M,29 01 99 00:00,0,82,61,-1,{34E128CF-D904-4327-8014-9DF0D5DE7D08},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
78,368920189,1109,adventure-works\nitin0,182,Production Technician - WC20,01 01 77 00:00,S,M,29 01 99 00:00,0,21,30,-1,{EBBC6787-3F2D-4F6B-9EA3-4DEF02EF382E},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
79,811994146,1050,adventure-works\diane1,158,Research and Development Engineer,06 07 76 00:00,S,F,30 01 99 00:00,-1,62,51,-1,{31112635-663B-4018-B4A2-A685C0BF48A4},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
80,330211482,1211,adventure-works\rebecca0,16,Production Technician - WC60,11 08 67 00:00,M,F,30 01 99 00:00,0,23,31,-1,{BDADEB5C-A596-4DA1-88BA-842C7A0CC10F},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
81,632092621,1136,adventure-works\rajesh0,210,Production Technician - WC40,05 11 67 00:00,M,M,01 02 99 00:00,0,48,44,-1,{ACA7B40C-7AC0-4DAA-B4C7-1051D850D7D9},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
82,264306399,1238,adventure-works\vidur0,30,Recruiter,02 09 74 00:00,S,M,02 02 99 00:00,0,50,45,-1,{47E76B59-B137-4572-AD55-6B3E68C13BD3},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
83,981597097,1179,adventure-works\john1,38,Production Technician - WC50,01 07 68 00:00,S,M,02 02 99 00:00,0,91,65,-1,{B6998410-EE0F-4307-9E6E-FE348F11012D},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
84,693325305,1222,adventure-works\nancy0,7,Production Technician - WC60,21 12 78 00:00,M,F,03 02 99 00:00,0,34,37,-1,{6B7EB306-9A00-496A-98A9-4E94FE72F77C},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
85,521265716,1281,adventure-works\pilar0,21,Shipping and Receiving Supervisor,11 10 62 00:00,S,M,03 02 99 00:00,-1,93,66,-1,{01BCCE22-D63A-4C3F-9BA8-D3D5A4C3BD52},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
86,746373306,1120,adventure-works\david3,184,Production Technician - WC30,04 09 71 00:00,S,M,03 02 99 00:00,0,32,36,-1,{84C358D4-2493-452C-B7D6-B212C893A009},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
87,750905084,1061,adventure-works\david4,21,Production Supervisor - WC40,02 08 73 00:00,S,M,04 02 99 00:00,0,73,56,-1,{516538E8-115B-44F4-AA7B-E6C1D9F8ADFC},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
88,514829225,1163,adventure-works\laura0,123,Production Technician - WC45,26 01 71 00:00,S,F,04 02 99 00:00,0,75,57,-1,{FCCD65BA-2702-4409-AE56-75AF1710AC78},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
89,750246141,1206,adventure-works\margie0,16,Production Technician - WC60,20 06 76 00:00,M,F,05 02 99 00:00,0,18,29,-1,{352D6E2F-655B-49A2-9FEC-EFD7D8CD0D30},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
90,345106466,1265,adventure-works\zainal0,200,Document Control Manager,02 03 66 00:00,M,M,05 02 99 00:00,0,77,58,-1,{DC60EEED-9F9F-4435-8666-4DE4FAFDE9C3},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
91,19312190,1137,adventure-works\lorraine0,210,Production Technician - WC40,28 12 78 00:00,M,F,05 02 99 00:00,0,49,44,-1,{A63966B6-9AD6-40BC-AFD4-A83745879F4D},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
92,212801092,1104,adventure-works\fadi0,143,Production Technician - WC20,19 03 79 00:00,S,M,05 02 99 00:00,0,16,28,-1,{9923376F-26D0-4845-9D99-CC3D696CAEB8},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
93,769680433,1147,adventure-works\ryan0,51,Production Technician - WC40,15 07 62 00:00,M,M,06 02 99 00:00,0,59,49,-1,{10E5BD6F-2B9C-4192-A94D-6A2D50EA1ADB},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
94,60517918,1249,adventure-works\candy0,139,Accounts Receivable Specialist,26 03 66 00:00,S,F,07 02 99 00:00,0,61,50,-1,{9E9F713B-707C-4F7E-9504-DE188052A045},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
95,431859843,1190,adventure-works\nuan0,74,Production Technician - WC50,29 04 69 00:00,S,M,07 02 99 00:00,0,2,21,-1,{A6089357-2F2F-48CC-AB3C-D9B75A3C09D7},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
96,621209647,1233,adventure-works\william0,44,Scheduling Assistant,08 12 71 00:00,M,M,08 02 99 00:00,0,45,42,-1,{1A68CD62-6FE9-4613-90D4-2CD178E4E54A},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
97,420023788,1131,adventure-works\bjorn0,173,Production Technician - WC30,08 12 79 00:00,S,M,08 02 99 00:00,0,43,41,-1,{A942E1E0-2D5E-4858-97C0-947020E96860},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
98,199546871,1174,adventure-works\scott0,197,Production Technician - WC45,13 03 77 00:00,M,M,09 02 99 00:00,0,86,63,-1,{E35DA50A-BB51-4E08-8B8D-87EF4650247A},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
99,830150469,1158,adventure-works\michael1,87,Production Technician - WC40,04 02 81 00:00,S,M,11 02 99 00:00,0,70,55,-1,{416BF905-7D6C-4692-8FD6-40F6C4F9ECC4},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
100,322160340,1099,adventure-works\lane0,143,Production Technician - WC20,24 10 64 00:00,M,M,12 02 99 00:00,0,11,25,-1,{042427B8-3883-4A87-A6A3-724EE1690F49},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
101,827686041,1201,adventure-works\pete0,14,Production Technician - WC50,07 03 67 00:00,S,M,12 02 99 00:00,0,13,26,-1,{1F1D813D-3EDC-4274-8E9B-4519D71685B6},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
102,671089628,1260,adventure-works\dan0,42,Application Specialist,28 07 71 00:00,M,M,12 02 99 00:00,-1,72,56,-1,{71B0D010-5AC5-4E91-8EFA-C311C1372A73},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
103,231203233,1244,adventure-works\david5,140,Assistant to the Chief Financial Officer,23 07 54 00:00,S,M,13 02 99 00:00,0,56,48,-1,{BE81FD77-428C-449F-AB79-48B1CDF53D6A},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
104,204035155,1195,adventure-works\lolan0,74,Production Technician - WC50,25 02 63 00:00,M,M,13 02 99 00:00,0,7,23,-1,{9B9B768D-7CC1-4DCE-87CB-765AB73A6AFF},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
105,992874797,1142,adventure-works\paula1,210,Production Technician - WC40,13 03 77 00:00,M,F,13 02 99 00:00,0,54,47,-1,{5DD2BE46-204F-4AF3-91F5-5EF082F6D6A6},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
106,767955365,1034,adventure-works\mary0,6,Marketing Specialist,14 10 52 00:00,M,F,13 02 99 00:00,0,46,43,-1,{90899830-127E-4876-85CA-7F6E03025281},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
107,342607223,1185,adventure-works\mindaugas0,38,Production Technician - WC50,07 06 68 00:00,M,M,14 02 99 00:00,0,97,68,-1,{1D784088-DACB-4185-9F60-3D2DB4925BA5},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
108,45615666,1228,adventure-works\eric0,21,Production Supervisor - WC20,20 02 75 00:00,M,M,15 02 99 00:00,0,40,40,-1,{2ABCF39B-88D7-49FA-820A-83D223322BA5},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
109,295847284,1287,adventure-works\ken0,,Chief Executive Officer,02 03 59 00:00,S,M,15 02 99 00:00,-1,99,69,-1,{F01251E5-96A3-448D-981E-0F99D789110D},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
